6.01543622913648e-17,-1,-1.0593257020809e-18,5.69307587441349e-15,0.4067366430758,2.54347255680553e-17,-0.913545457642601,-596.162791274951,0.913545457642601,5.45228778486753e-17,0.4067366430758,380.556612809467,-1.77635683940025e-15
6.01540988145284e-17,-1,-1.0595324373346e-18,-0.00010127603613896,0.406733472777406,2.54346180535117e-17,-0.913546869143795,-596.163842463732,0.913546869143795,5.45226413304215e-17,0.406733472777406,380.555121795011,2.71590335265692e-06
6.01559638929419e-17,-1,-1.06097582636754e-18,-0.000803407487467799,0.406711493443114,2.54353834409198e-17,-0.913556654565699,-596.171130057579,0.913556654565699,5.4524370063362e-17,0.406711493443114,380.54478470998,2.15448508309457e-05
6.01318209240721e-17,-1,-1.06493057683565e-18,-0.00268865083681961,0.406652477127147,2.542565632541e-17,-0.913582926091745,-596.190696256074,0.913582926091745,5.45023482539999e-17,0.406652477127147,380.517028409607,7.21011219919632e-05
6.01413127027312e-17,-1,-1.07254576647235e-18,-0.00631918143851661,0.406538820948463,2.54296921076451e-17,-0.913633508066464,-596.228371165995,0.913633508066464,5.45110870130036e-17,0.406538820948463,380.463572568,0.000169460484548356
6.01108188099892e-17,-1,-1.0844842357766e-18,-0.0122373229256495,0.406353536096242,2.5417154304903e-17,-0.913715931623215,-596.289771242111,0.913715931623215,5.44835288055551e-17,0.406353536096242,380.376423266109,0.000328166348761094
6.01710355379565e-17,-1,-1.1018388431259e-18,-0.0209657764225929,0.406080235633325,2.54411698624684e-17,-0.913837426585267,-596.380296472484,0.913837426585267,5.45391092939303e-17,0.406080235633325,380.247865619754,0.000562235921884646
6.0159574458761e-17,-1,-1.12707812782748e-18,-0.0330078493503509,0.40570312128278,2.54370820769085e-17,-0.914004911026965,-596.505126483956,0.914004911026965,5.45288873862108e-17,0.40570312128278,380.070455591188,0.000885166362582845
5.99387538159227e-17,-1,-1.16026135503884e-18,-0.0488476835085586,0.405206969378423,2.53483406948491e-17,-0.914224978857586,-596.669215731385,0.914224978857586,5.43273599527498e-17,0.405206969378423,379.837011122287,0.00130994093533232
5.99817873801576e-17,-1,-1.202349175073e-18,-0.0689504820083292,0.40457711615627,2.53668115528156e-17,-0.914503885766854,-596.877287922206,0.914503885766854,5.43671346725315e-17,0.40457711615627,379.540602722424,0.00184903516486501
6.00476736167313e-17,-1,-1.25425675505671e-18,-0.0937627345189935,0.403799442560478,2.53946708326655e-17,-0.914847533848044,-597.133829816221,0.914847533848044,5.44279979430592e-17,0.403799442560478,379.174543639338,0.00251442299058069
5.97370474003488e-17,-1,-1.31685293406766e-18,-0.123712440185446,0.402860358733904,2.52709530781178e-17,-0.915261455192335,-597.443084529186,0.915261455192335,5.41445090871184e-17,0.402860358733904,378.732379736647,0.00331758292096951
6.01324080015215e-17,-1,-1.38339054694821e-18,-0.159209327474956,0.401746788359896,2.54248427837433e-17,-0.91575079472666,-597.809044457962,0.91575079472666,5.45105277069371e-17,0.401746788359896,378.207879197136,0.00426950418802607
6.00436269537426e-17,-1,-1.46978058083483e-18,-0.200645070126326,0.400446153018041,2.53910291986868e-17,-0.916320292546799,-598.235443934657,0.916320292546799,5.44306258364483e-17,0.400446153018041,377.595022166288,0.00538069290169263
5.92462058338105e-17,-1,-1.56917855642012e-18,-0.248393498303344,0.398946356712308,2.5074954321388e-17,-0.916974265978046,-598.725751707578,0.916974265978046,5.37012280383277e-17,0.398946356712308,376.887990445903,0.00666117820424761
5.92430002609691e-17,-1,-1.68225864227066e-18,-0.302810804000417,0.397235770725133,2.50772755360716e-17,-0.917716591577383,-599.283163337735,0.917716591577383,5.37000309659932e-17,0.397235770725133,376.08115734286,0.00812051842475037
5.98644101542869e-17,-1,-1.80964389166168e-18,-0.364235739712674,0.395303218945513,2.53268436746709e-17,-0.918550687273879,-599.910593591372,0.918550687273879,5.42731370349467e-17,0.395303218945513,375.169077773103,0.0097678072334686
5.986150560669e-17,-1,-1.95190526086456e-18,-0.432989809367009,0.393137963812942,2.53285672882028e-17,-0.919479494827924,-600.610668901358,0.919479494827924,5.42740588750662e-17,0.393137963812942,374.146478715888,0.011611679796262
5.82610594160459e-17,-1,-2.10956064330511e-18,-0.50937745051467,0.390729693012144,2.47061879564114e-17,-0.92050546277501,-601.385719963443,0.92050546277501,5.28053554769806e-17,0.390729693012144,373.008250107995,0.0136603189290554
5.7918027622325e-17,-1,-2.25279882876705e-18,-0.593686206810705,0.388068507045894,2.4552410688992e-17,-0.921630530006016,-602.237774527206,0.921630530006016,5.25047822163121e-17,0.388068507045894,371.749436262163,0.0159214612522129
5.98478921514244e-17,-1,-2.44257899017e-18,-0.686186889850274,0.385144907804823,2.53042598505106e-17,-0.922856110123358,-603.168550436168,0.922856110123358,5.42902460899707e-17,0.385144907804823,370.365227888345,0.0184024033449925
6.01724738167403e-17,-1,-2.64897921746713e-18,-0.787133729496287,0.38194978824404,2.54310053957395e-17,-0.924183076700896,-604.179448966791,0.924183076700896,5.45986049334846e-17,0.38194978824404,368.850954790526,0.0211100078999469
5.69499882707362e-17,-1,-2.87229608823737e-18,-0.896764511916213,0.378474423266611,2.42127449733096e-17,-0.925611749565122,-605.271548512127,0.925611749565122,5.16264876755427e-17,0.378474423266611,367.202079305844,0.0240507098773624
5.30649888868348e-17,-1,-3.11276879354922e-18,-1.01530070464682,0.374710461903503,2.27699848148127e-17,-0.927141882205773,-606.445598652491,0.927141882205773,4.80323866433388e-17,0.374710461903503,365.414190546555,0.0272305226596541
